aspect,sentiment,head_noun,tfidf_sum,freq,phrase
environment,pos,space,0.5345224838248488,2,small_space
price,neg,price,1.1547005383792517,2,high_price
price,pos,price,1.0606601717798212,3,affordable_price
service,pos,great,0.5773502691896257,3,great_place
service,pos,service,0.5773502691896257,3,excellent_service
service,pos,ygf,0.3849001794597505,2,good_ygf
taste,neg,ingredient,0.7071067811865476,3,complex_ingredient
taste,pos,deliciou,0.7302967433402214,4,actually_delicious
taste,pos,broth,0.3651483716701107,2,amazing_broth
taste,pos,ingredient,0.3651483716701107,2,fresh_ingredient
taste,pos,service,0.3651483716701107,2,decent_service
waiting_time,pos,time,0.7559289460184544,2,fourth_time
