aspect,sentiment,head_noun,tfidf_sum,freq,phrase
environment,neg,shave_ice,0.42640143271122083,4,shave_ice
environment,neg,moderate_noise,0.31980107453341566,3,moderate_noise
environment,neg,traditional_shave_ice,0.31980107453341566,3,traditional_shave_ice
environment,neg,easy_parking,0.21320071635561041,2,easy_parking
environment,neg,free_parking,0.21320071635561041,2,free_parking
environment,pos,open_air,0.2970442628930023,3,open_air
environment,pos,beautiful_space,0.19802950859533489,2,beautiful_space
environment,pos,favorite_spot,0.19802950859533489,2,favorite_spot
environment,pos,high_ceiling,0.19802950859533489,2,high_ceiling
environment,pos,pleasant_atmosphere,0.19802950859533489,2,pleasant_atmosphere
price,pos,reasonable_price,0.8751899489873673,6,friendly_reasonable_price
price,pos,value,0.4375949744936837,3,great_value
price,pos,generous_portion,0.2917299829957891,2,generous_portion
service,neg,pretty_good,0.5773502691896257,3,pretty_good
service,pos,service,0.9819080538903939,22,great_service
service,pos,vibe,0.5802183954806873,13,great_atmosphere
service,pos,friendly_staff,0.5355862112129421,12,super_friendly_staff
service,pos,place,0.4016896584097066,9,great_place
service,pos,spot,0.4016896584097066,9,great_spot
taste,neg,sour_soup,0.6412234498911868,9,sour_soup
taste,neg,braise_egg,0.4274822999274579,6,braise_egg
taste,neg,forbid_rice,0.2849881999516386,4,forbid_rice
taste,neg,beverage,0.21374114996372895,3,alcoholic_beverage
taste,neg,hot_sour_soup,0.21374114996372895,3,hot_sour_soup
taste,pos,taiwanese_popcorn,0.46607258059834855,13,taiwanese_popcorn
taste,pos,dessert,0.43022084362924484,12,customize_dessert
taste,pos,appetizer,0.3585173696910373,10,fresh_appetizer
taste,pos,panfrie_pork,0.3226656327219336,9,panfrie_pork
taste,pos,mapo_tofu,0.21511042181462242,6,mapo_tofu
waiting_time,neg,long_line,0.6099942813304187,4,long_line
waiting_time,neg,busy_place,0.30499714066520933,2,super_busy_place
waiting_time,neg,huge_roll,0.30499714066520933,2,huge_roll
waiting_time,pos,fast_service,0.6963106238227914,4,really_fast_service
waiting_time,pos,breakfast,0.3481553119113957,2,excellent_breakfast
waiting_time,pos,bring_quick,0.3481553119113957,2,bring_quick
