aspect,sentiment,head_noun,tfidf_sum,freq,phrase
environment,pos,place,1.1202240672224077,8,beautiful_place
environment,pos,spot,0.7001400420140048,5,favorite_spot
environment,pos,love,0.28005601680560194,2,insanely_good_love
environment,pos,space,0.28005601680560194,2,light_space
environment,pos,special,0.28005601680560194,2,yunomi_special
price,neg,fee,0.8944271909999159,2,additional_fee
service,pos,service,0.8029550685469661,7,great_service
service,pos,staff,0.8029550685469661,7,friendly_staff
service,pos,recommend,0.3441236008058426,3,highly_recommend
service,pos,bar,0.22941573387056174,2,tiny_bar
service,pos,forward,0.22941573387056174,2,look_forward
taste,neg,experience,0.5388159060803247,3,bad_experience
taste,neg,salmon,0.5388159060803247,3,spicy_salmon
taste,neg,tuna,0.5388159060803247,3,spicy_tuna
taste,pos,food,0.8549645998549158,12,delicious_food
taste,pos,hand,0.7124704998790965,10,good_hand
taste,pos,handroll,0.7124704998790965,10,solid_handroll
taste,pos,appetizer,0.5699763999032772,8,appetizer
taste,pos,rice,0.4274822999274579,6,crispy_rice
waiting_time,neg,hour,0.8320502943378437,3,wait_hour
waiting_time,neg,minute,0.5547001962252291,2,wait_minute
