aspect,sentiment,head_noun,tfidf_sum,freq,phrase
environment,neg,seat,0.6396021490668312,3,available_seating
environment,neg,vibe,0.42640143271122083,2,fun_vibe
environment,pos,popular,0.4588314677411235,2,popular_spot
environment,pos,seat,0.4588314677411235,2,indoor_seat
environment,pos,space,0.4588314677411235,2,limitless_space
service,neg,good,0.6546536707079772,3,pretty_good
service,neg,rude,0.6546536707079772,3,extremely_rude
service,neg,treatment,0.4364357804719848,2,disrespectful_treatment
service,pos,service,1.0,5,efficient_service
service,pos,good,0.4,2,good_place
service,pos,treat,0.4,2,enjoy_treat
taste,neg,beverage,0.5477225575051661,3,beverage
taste,neg,bad_service,0.3651483716701107,2,extremely_bad_service
taste,neg,chicken,0.3651483716701107,2,spicy_chicken
taste,neg,coffee,0.3651483716701107,2,bad_coffee
taste,pos,matcha,1.034792955221957,11,good_matcha
taste,pos,coffee,0.6585046078685182,7,good_coffee
taste,pos,salad,0.3762883473534389,4,amazing_salad
taste,pos,sandwich,0.3762883473534389,4,absolutely_amazing_sandwich
taste,pos,dulce,0.2822162605150792,3,cafe_dulce
waiting_time,neg,long_line,0.917662935482247,4,really_long_line
waiting_time,neg,busy,0.4588314677411235,2,busy_shop
waiting_time,neg,slow_service,0.4588314677411235,2,remarkably_slow_service
waiting_time,pos,fast_service,0.6324555320336759,2,fast_service
