aspect,sentiment,target_noun,total_mentions,top_adjectives
environment,neg,seating,4,"limited(1), dirty(1), clean(1), available(1)"
environment,neg,funk,1,weird(1)
environment,neg,noise,1,moderate(1)
environment,neg,music,1,loud(1)
environment,neg,number,1,high(1)
environment,neg,loud_level,1,dine(1)
environment,neg,ecause,1,bad(1)
environment,neg,train,1,acceptable(1)
environment,neg,loud_music,1,obnoxiously(1)
environment,neg,impression,1,general(1)
environment,neg,loudness,1,consistent(1)
environment,neg,maintain_space,1,poorly(1)
environment,neg,overshadow,1,completely(1)
environment,pos,matcha,6,good(6)
environment,pos,spot,2,popular(2)
price,neg,quality,2,"high(1), premium(1)"
price,neg,dollar,2,"pay(1), extra(1)"
price,neg,size,1,small(1)
price,neg,noticeable_inefficiency,1,particularly(1)
price,neg,worth,1,not(1)
price,neg,personally_recommend,1,not(1)
price,neg,grade,1,high(1)
price,neg,price,1,different(1)
price,neg,drink_half,1,barely(1)
price,neg,charge,1,extra(1)
price,pos,recommend,3,highly(3)
service,neg,service,3,"bad(2), slow(1)"
service,neg,away,2,walk(2)
service,neg,complain,1,not(1)
service,neg,understand,1,completely(1)
service,neg,guy,1,rude(1)
service,neg,care,1,not(1)
service,neg,customer,1,treat(1)
service,neg,staff,1,rude(1)
service,neg,manager,1,disrespectful(1)
service,neg,rude,1,incredibly(1)
service,neg,use,1,not(1)
service,neg,behavior,1,unacceptable(1)
service,neg,slow_service,1,remarkably(1)
service,neg,treatment,1,disrespectful(1)
service,neg,action,1,disrespectful(1)
service,neg,disappointing,1,deeply(1)
service,neg,urgently,1,address(1)
service,neg,remind,1,politely(1)
service,neg,slam_cup,1,rudely(1)
service,neg,poorly,1,treat(1)
service,neg,worst,1,treat(1)
service,pos,staff,3,friendly(3)
service,pos,service,2,fast(2)
taste,neg,coffee,2,"bad(1), commendable(1)"
taste,neg,dulce,2,cafe(2)
taste,neg,spoon,2,"big(1), grab(1)"
taste,neg,drink,2,"request(1), green(1)"
taste,neg,sign,1,disappointing(1)
taste,neg,beverage,1,pre(1)
taste,neg,sweeten,1,not(1)
taste,neg,delicious_pastry,1,not(1)
taste,neg,latte,1,disappointing(1)
taste,neg,warm_croissant,1,not(1)
taste,neg,hot_chocolate,1,not(1)
taste,neg,chocolate,1,hot(1)
taste,neg,burrito,1,small(1)
taste,neg,dressing,1,extra(1)
taste,neg,vinaigrette,1,extra(1)
taste,pos,dulce,5,cafe(5)
taste,pos,coffee,4,good(4)
taste,pos,tea,3,green(3)
taste,pos,salad,2,amazing(2)
taste,pos,chicken,2,spicy(2)
taste,pos,pastry,2,delicious(2)
waiting_time,neg,line,5,long(5)
waiting_time,pos,order,2,"online(1), just(1)"
waiting_time,pos,busy,1,look(1)
waiting_time,pos,shift,1,busy(1)
