aspect,sentiment,phrase,tfidf_sum,freq
environment,neg,high_level,0.42857142857142855,3
environment,neg,limited_parking,0.42857142857142855,3
environment,pos,beautifully_present,0.4900980294098034,7
environment,pos,amazing_place,0.21004201260420147,3
environment,pos,absolute_gem,0.14002800840280097,2
environment,pos,absolute_standout,0.14002800840280097,2
environment,pos,catch_eye,0.14002800840280097,2
price,pos,affordable_price,0.32128773156099955,4
price,pos,worth_wait,0.32128773156099955,4
price,pos,absolutely_worth,0.24096579867074966,3
price,pos,affordable_michelin,0.24096579867074966,3
price,pos,definitely_worth,0.24096579867074966,3
service,neg,bad_service,0.3287979746107146,2
service,pos,highly_recommend,0.7815390739430262,21
service,pos,great_service,0.22329687826943606,6
service,pos,not_disappoint,0.22329687826943606,6
service,pos,blow_away,0.14886458551295736,4
service,pos,amazing_service,0.07443229275647868,2
taste,neg,raw_scallop,0.27472112789737807,2
taste,pos,seafood,0.9344097265391998,148
taste,pos,amazing_food,0.10733084696734053,17
taste,pos,kanpachi_taco,0.10101726773396756,16
taste,pos,great_food,0.08207653003384864,13
taste,pos,octopus_taco,0.08207653003384864,13
waiting_time,neg,long_line,0.8333333333333334,20
waiting_time,neg,long_wait,0.375,9
waiting_time,neg,avoid_line,0.125,3
waiting_time,neg,wait_minute,0.125,3
waiting_time,neg,wait_time,0.125,3
waiting_time,pos,fast_service,0.6681531047810609,5
waiting_time,pos,small_wait,0.2672612419124244,2
